annId,animeType,animeJPName,songType,songArtist,songName,animeVintage,annSongId,anilistId,audio,HQ,MQ,songLength
836,TV,One Piece,Opening 14,Namie Amuro,Fight Together,Fall 1999,2217,21,o099mx.mp3,qqnmz1.webm,,147.552
836,TV,One Piece,Opening 13,THE ROOTLESS,One day,Fall 1999,2216,21,jsk90m.mp3,xadig3.webm,,150.048
836,TV,One Piece,Opening 11,Tohoshinki,Share The World,Fall 1999,2214,21,jgj8da.mp3,zdxhyr.webm,,149.447
836,TV,One Piece,Ending 17,TRIPLANE,Dear friends,Fall 1999,24812,21,iuv71p.mp3,,oc7bak.webm,69.048
836,TV,One Piece,Opening 5,BOYSTYLE,Kokoro no Chizu,Fall 1999,2208,21,ifyi6p.mp3,,a0g48o.webm,106.968
836,TV,One Piece,Opening 4,BON-BON BLANCO,BON VOYAGE!,Fall 1999,2207,21,b032u8.mp3,,m2wa5w.webm,107.856
836,TV,One Piece,Opening 3,The Babystars,Hikari e,Fall 1999,2206,21,rzhlfd.mp3,,tlds4l.webm,107.856
836,TV,One Piece,Opening 6,D-51,BRAND NEW WORLD,Fall 1999,2209,21,diowdz.mp3,,aemf9t.webm,109.104
836,TV,One Piece,Opening 2,Folder5,Believe,Fall 1999,2205,21,tnxwgi.mp3,,im1a6p.webm,109.176
836,TV,One Piece,Opening 1,Hiroshi Kitadani,We Are!,Fall 1999,2204,21,ukhghw.mp3,,c7pqug.webm,109.296
836,TV,One Piece,Opening 7,7-nin no Mugiwara Kaizoku-dan,We Are!~7-nin no Mugiwara Kaizoku-danpen,Fall 1999,2210,21,xf8skp.mp3,,zjypxh.webm,109.728
836,TV,One Piece,Opening 12,Mari Yaguchi to Straw Hat,Kaze o Sagashite,Fall 1999,2215,21,42gkc4.mp3,,vw23ce.webm,148.08
836,TV,One Piece,Opening 8,Tackey & Tsubasa,Crazy Rainbow,Fall 1999,2211,21,hgope3.mp3,,9rrce3.webm,149.64
836,TV,One Piece,Opening 9,5050,Jungle P,Fall 1999,2212,21,xczzev.mp3,,dh2ojv.webm,149.976
836,TV,One Piece,Opening 10,Tohoshinki,We Are!~Animation One Piece 10 Shuunen Ver.~,Fall 1999,2213,21,0fjn8c.mp3,,bwx8pb.webm,150.384
15396,Special,One Piece Episode of Merry: Mou Hitori no Nakama no Monogatari,Ending 1,moumoon,memories,Summer 2013,13383,19123,0sh3gv.mp3,r5ugjr.webm,4hnlb5.webm,92.04
18113,Movie,One Piece Film: Gold,Opening 1,Hikari Mitsushima & Kazuhiro Yamaji,GOLD & JIVE ~ SILVER OCEAN,Summer 2016,15887,21335,nlxgh8.mp3,d2xwam.webm,2rutdi.webm,667.032
18113,Movie,One Piece Film: Gold,Ending 1,GLIM SPANKY,Ikari o Kure yo,Summer 2016,15886,21335,da2gmz.mp3,k1cojr.webm,x2j8du.webm,188.544
24981,Movie,One Piece Film: Red,Ending 1,Ado,Kaze no Yukue,Summer 2022,39370,141902,lvftb0.mp3,uo69w4.webm,,265.608
24981,Movie,One Piece Film: Red,Opening 1,Ado,Shinjidai,Summer 2022,37450,141902,u7m43n.mp3,uwbwsc.webm,,221.544
